Timestamp,Elapsed(s),Power(W),Fan(RPM),Temp_core0(C),Temp_core1(C),Temp_core2(C),Temp_core3(C),Temp_core4(C),Temp_core5(C),Temp_core6(C),Temp_core7(C)
17:16:04,41.2,3.50,1001,36.0,34.0,34.0,35.0,35.0,36.0,34.0,34.0
17:16:05,42.2,3.58,1001,36.0,35.0,35.0,35.0,34.0,35.0,34.0,35.0
17:16:06,43.2,3.59,1001,36.0,35.0,35.0,35.0,34.0,36.0,34.0,34.0
17:16:07,44.2,3.23,1001,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:08,45.2,3.44,1001,36.0,34.0,35.0,35.0,34.0,36.0,33.0,35.0
17:16:09,46.2,4.24,1001,36.0,35.0,35.0,36.0,34.0,36.0,34.0,35.0
17:16:10,47.2,4.00,1002,36.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:16:11,48.2,5.98,1001,37.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:16:12,49.2,4.93,1001,36.0,34.0,35.0,35.0,34.0,36.0,35.0,35.0
17:16:13,50.2,3.70,1002,37.0,35.0,36.0,35.0,34.0,36.0,34.0,35.0
17:16:14,51.2,3.65,1002,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:15,52.2,3.27,1001,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:16,53.2,3.69,1002,36.0,35.0,35.0,35.0,34.0,36.0,35.0,35.0
17:16:17,54.2,3.90,1002,36.0,36.0,35.0,35.0,35.0,36.0,35.0,35.0
17:16:18,55.2,3.27,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:19,56.2,5.73,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:20,57.2,3.30,1001,36.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0
17:16:21,58.2,3.46,1002,37.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:22,59.2,3.37,1002,36.0,34.0,35.0,35.0,34.0,36.0,34.0,35.0
17:16:23,60.2,4.13,1003,36.0,35.0,35.0,35.0,35.0,36.0,35.0,35.0
17:16:24,61.2,3.42,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
17:16:25,62.2,3.30,1002,36.0,34.0,34.0,35.0,35.0,36.0,34.0,34.0
17:16:26,63.2,3.10,1002,36.0,35.0,34.0,35.0,35.0,36.0,35.0,34.0
17:16:27,64.3,3.28,1002,36.0,35.0,35.0,36.0,34.0,36.0,33.0,34.0
17:16:28,65.3,3.42,1002,36.0,35.0,35.0,35.0,35.0,36.0,34.0,35.0
